date,latitude,longitude,magnitude
2013-04-25 22:54:00,37.3127,37.1127,4.4
2013-04-21 01:45:00,36.1948,28.1948,4.4
2013-04-19 20:50:00,37.3225,37.1225,4.0
2013-04-14 18:25:00,37.3097,36.2097,4.0
2013-04-04 06:34:00,37.321,37.121,4.1
2013-04-01 16:54:00,38.8055,26.0055,4.2
2013-03-13 18:28:00,40.181,34.381,4.1
2013-03-12 20:47:00,39.1583,29.0583,4.1
2013-03-07 21:50:00,40.8693,36.1693,4.3
2013-03-03 11:22:00,36.108,34.608,4.0
2013-02-27 22:05:00,36.7115,26.5115,4.1
2013-02-21 10:18:00,37.3907,26.8907,4.6
2013-02-20 06:59:00,37.9203,29.3203,4.1
2013-02-12 20:20:00,37.1522,36.9522,4.2
2013-01-12 20:50:00,38.8447,26.0447,4.1
2013-01-08 06:15:00,37.9265,37.9265,4.3
2013-01-08 06:05:00,37.9788,37.9788,4.7
2012-12-27 16:09:00,36.1563,28.8563,4.0
2012-12-25 15:35:00,39.8,34.1,4.1
2012-12-24 22:41:00,36.7847,26.4847,4.1
2012-12-24 04:14:00,37.8177,37.0177,4.0
2012-12-12 07:52:00,39.3137,40.9137,4.0
2012-12-12 01:18:00,37.337,36.237,4.1
2012-12-07 04:50:00,36.6755,31.5755,4.1
2012-12-02 19:02:00,36.6543,27.9543,4.0
2012-12-01 03:51:00,37.4485,38.3485,4.1
2012-11-30 02:32:00,37.2405,28.6405,4.2
2012-11-29 11:28:00,37.1605,26.7605,4.3
2012-11-26 17:35:00,36.6523,27.9523,4.8
2012-11-25 08:51:00,36.522,27.922,4.0
2012-11-24 21:35:00,36.6445,27.9445,4.1
2012-11-24 21:31:00,36.5277,27.9277,4.2
2012-11-24 21:04:00,36.6387,27.9387,4.3
2012-11-20 17:56:00,39.4407,39.8407,4.2
2012-11-18 19:18:00,37.333,37.133,4.0
2012-11-14 00:03:00,37.3902,37.1902,4.0
2012-11-14 00:01:00,37.3202,37.1202,4.4
2012-11-13 23:55:00,37.32,37.12,4.7
2012-11-13 18:25:00,36.5418,28.2418,4.0
2012-11-09 04:46:00,36.66,27.96,4.0
2012-10-30 08:09:00,36.56,26.46,4.3
2012-10-30 00:12:00,39.1787,29.1787,4.1
2012-10-26 09:40:00,36.5583,31.4583,4.3
2012-10-20 01:09:00,36.5425,28.2425,4.1
2012-10-16 10:25:00,37.2372,37.1372,4.6
2012-10-16 01:16:00,37.2484,37.1484,4.6
2012-10-05 10:25:00,39.3987,33.7987,4.5
2012-09-20 01:11:00,37.3366,37.1366,4.0
2012-09-19 23:15:00,37.2467,37.1467,4.3
2012-09-19 09:17:00,37.2398,37.1398,5.0
2012-09-19 07:19:00,37.3168,37.1168,4.0
2012-09-16 07:54:00,37.5632,35.6632,4.7
2012-09-08 10:01:00,37.2293,37.1293,4.3
2012-09-05 15:49:00,38.9217,27.6217,4.1
2012-08-31 14:14:00,39.4912,39.9912,4.2
2012-08-25 07:24:00,38.733,28.033,4.1
2012-08-07 23:57:00,38.7463,28.0463,4.2
2012-08-07 23:17:00,38.753,28.053,4.0
2012-08-04 02:23:00,38.769,28.069,4.2
2012-08-03 10:18:00,38.765,28.065,4.6
2012-07-25 21:28:00,40.4208,26.2208,4.6
2012-07-22 09:26:00,37.5707,36.3707,4.8
2012-07-21 20:45:00,36.3923,26.1923,4.2
2012-07-18 17:46:00,37.1912,28.2912,4.0
2012-07-07 07:51:00,36.4867,26.8867,4.0
2012-07-07 07:07:00,40.7077,30.4077,4.0
2012-07-04 08:45:00,39.991,27.891,4.2
2012-06-25 13:05:00,36.4422,28.9422,5.0
2012-06-20 19:22:00,36.1905,30.4905,4.0
2012-06-19 01:46:00,39.1593,29.1593,4.9
2012-06-14 16:46:00,36.3642,29.0642,4.8
2012-06-13 08:59:00,36.4013,28.9013,4.5
2012-06-13 06:40:00,39.1483,29.1483,4.3
2012-06-12 21:58:00,36.4283,28.9283,4.5
2012-06-11 19:51:00,36.4837,28.9837,4.3
2012-06-11 17:35:00,36.4907,28.9907,4.4
2012-06-11 14:00:00,36.4053,29.0053,4.0
2012-06-11 02:06:00,36.4788,28.9788,4.4
2012-06-10 22:31:00,36.4442,28.9442,4.0
2012-06-10 18:28:00,36.4608,28.9608,4.5
2012-06-10 13:01:00,36.4245,29.2245,4.0
2012-06-10 12:50:00,36.4612,28.9612,4.4
2012-06-10 12:49:00,36.4295,28.9295,5.0
2012-06-10 12:44:00,36.33,28.93,6.1
2012-06-09 14:33:00,37.0823,28.4823,4.2
2012-06-07 20:54:00,40.8235,27.9235,5.0
2012-06-04 14:19:00,36.902,28.202,4.6
2012-05-25 11:22:00,38.1873,38.5873,4.8
2012-05-19 12:21:00,36.9747,27.5747,4.2
2012-05-18 01:47:00,39.4018,27.9018,4.0
2012-05-09 17:49:00,39.1572,29.1572,4.3
